% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
1.982606948,7.65,-1.7,311.3100262
2.7,7.65,-1.7,311.3189822
1.7026842,8.631415495,0.120228024,300.0930818
1.7,8.25,0,300.106139
1.3,8.25,0,300.1592443
1.7,8.85,0,300.1057588
1.3,8.85,0,300.155455
0.8,7.65,0,300.1489246
0.3,7.65,0,300.1354371
0.325223784,7.783333333,0.1,300.1238412
0.3,8.25,0,300.166139
0.90918075,8.107285368,0,300.1621955
0,8.25,0,300.1266268
1.7,7.65,0,300.0823531
1.3,7.65,0,300.1306905
2.2,8.85,0,300.0962511
2.2,7.65,0,300.0709507
2.7,7.65,0,300.0314281
2.240318275,9,0.3,300.0507956
2.232667668,9,0,300.0907499
2.7,8.85,0,300.0552086
3,9,0,300.0109412
2.7,8.25,0,300.0613668
1.367892559,8.12158072,0.3,300.0888289
1.866483809,8.186410813,0.3,300.0466286
2.30918075,8.107285368,0,300.0793971
0.8,8.85,0,300.1734724
0.3,8.85,0,300.1635583
0.920782956,8.394292459,0.3,300.1158632
1.5,9,0.3,300.0960645
1.5,9,0,300.1332891
0.767332332,9,0,300.1779433
0.759681725,9,0.3,300.1319731
0,9,0,300.1571331
0,8.25,0.3,300.0934427
0,9,0.3,300.1140265
3,8.25,0,299.9643206
3,9,0.3,299.917205
3,8.25,0.3,299.8926266
2.444264548,8.004479795,0.3,300.0113749
0.640040672,9.475757109,-2,311.405429
2.353100729,9.748688052,-2,311.4049311
2.297378439,10.5,-1.7,311.372837
2.056895931,10.5,-2,311.4235639
3,10.5,-2,311.4422439
1.017393052,9.15,-1.7,311.3434883
1.466768342,9.669793305,-2,311.4043958
0.3,9.15,-1.7,311.3525129
0,9.75,-1.7,311.3977472
0.3,9.75,-1.7,311.3510441
0,9.75,-2,311.4306225
0,10.5,-1.7,311.4024922
0,10.5,-2,311.4423007
0.3,10.35,-1.7,311.3677115
